event_name,city_name,date,latitude,longitude
Hospital,North Samanthaville,2024-04-24,45.7109430036528,107.3995139927
Stop bit,East Markmouth,2024-04-17,82.1137714486887,-174.162201403759
Phone city,Riveraberg,2024-03-16,-6.82438215971564,117.458094731613
May analysis range like,Reidshire,2024-04-21,-61.8994277050876,29.1349519005495
Create success,New Susanmouth,2024-03-16,-33.8190125804592,-69.266189333257
National discuss door,Port Latasha,2024-03-01,-63.8281360364164,86.5432846672388
Whatever create important,Lindseytown,2024-03-06,-55.8333048969225,-153.673354455084
Resource case,Kristenchester,2024-04-03,-50.0285660859097,24.4075443403086
Than sort work,Howardton,2024-04-10,-59.3711939134855,21.4867866836838
Establish perform,North Lydia,2024-04-22,58.8698000186379,-163.348953613389
Condition character,East Jasmine,2024-04-22,-45.5046439428242,-112.071805335469
Green option,South Andrew,2024-03-27,-87.7798764727953,-48.194594628618
Word impact,West Jacobland,2024-03-10,-20.3444998188428,130.095563348021
Off father,Lake Kirsten,2024-04-08,-14.9317167414131,-48.4209373373051
Character wall catch,Jessicaport,2024-04-07,-70.6031556849414,10.6787177705659
Their,North Ericfort,2024-03-03,-84.0085172848591,-85.0948120386011
Decide begin,Dunlapfort,2024-03-04,65.210657426866,-51.1112611547312
Structure support choice,Fryland,2024-03-15,25.5169968004073,-173.225700392228
Beat under economy treat,Port Michael,2024-03-13,-84.6896039310473,-152.495753916131
Look imagine against,Rayville,2024-03-26,-69.0636901267929,16.1870014820254
Mention happy site,South Tammyside,2024-04-22,12.0461854617326,33.7261858045873
Over light of,South Natasha,2024-03-11,-26.896154963489,-96.2353048811425
Since similar nearly,Smithmouth,2024-04-17,-3.92035734408476,113.580934833615
Nor particularly practice,Lake Perryville,2024-04-10,-24.6084529762593,-113.730060733083
Act federal,Johnshire,2024-04-19,-3.24696829240757,58.9618944697603
Down model manager several,South Bryanland,2024-04-06,-57.6427084315974,4.22137252029066
Fire ball technology,Murphymouth,2024-04-05,75.5884006508683,-113.087581849466
Weight perform loss,Bridgetmouth,2024-04-10,80.2212640152627,172.348256878931
Effect conference,Lopezmouth,2024-04-15,40.6238329739342,46.0488800053003
Book me summer,Summerschester,2024-04-02,10.587270381843,-6.53097908743283
Religious father future,New Mark,2024-04-22,-63.2858603088903,163.347998250531
Organization party notice,New Greg,2024-04-10,-74.6337703093068,-40.3748283348261
Crime arm,Alexanderbury,2024-03-31,-8.63791207456521,71.0860655204077
Performance maybe conference,East Ryan,2024-04-17,-72.7807482680265,-162.339268259661
Often hot,Lucasshire,2024-03-05,78.795898057432,76.7325100445963
Plant PM,Russellmouth,2024-04-08,21.254107663623,-168.023317118261
Officer year structure,Greenburgh,2024-04-28,41.5264274594585,138.747997259506
Carry somebody class,Matthewstad,2024-04-14,66.5549753386734,-79.8142022270263
South send,Thompsonborough,2024-03-30,-42.2072591070704,24.749985170854
Safe at,South Jesseport,2024-04-17,15.3767388737751,160.647322273559
Party development available,Port Alexander,2024-03-15,-49.9691269211244,5.61356704917122
Run mission budget,South Brittany,2024-03-13,-1.70696494069892,1.11297166524531
Tv number,Patrickville,2024-04-26,-44.6717491859044,8.74456750836703
Also during,Walkerborough,2024-03-08,-81.6907657206155,88.337430210403
